run,trainable_params,total_params,trainable_ratio_%,peak_gpu_memory_gb,train_runtime_sec,final_train_loss,adopted_epoch,adopted_eval_loss
Full-FT,336128000,336128000,100.0,6.84,67.3,0.6782,2.0,1.0207
LoRA,2162688,338290688,0.6393,3.17,240.4,1.2586,14.0,1.1123
